symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs,variação
PETRL229,2022-11-30T00:00:00.000Z,"{'price': 26.66, 'symbol': 'PETR4'}",CALL,2022-12-16T00:00:00.000Z,15.76,10.24,EUROPEAN,12,ITM,1.0,0.0,0.0,-0.0012496029870086,0.0074976104244342,0.0,100.0,10.915,0.6749999999999989
PETRM445,2022-11-28T00:00:00.000Z,"{'price': 24.36, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,41.26,16.1,EUROPEAN,38,ITM,-1.0,0.0,0.0,0.0032647422415505,-0.0620302462381189,0.0,100.0,16.7758,0.6757999999999988
PETRX454,2022-11-07T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,60.02,32.06,EUROPEAN,28,ITM,-1.0,0.0,0.0,0.0047529182891364,-0.0665407895070548,0.0,100.0,32.7368,0.6768000000000001
PETRS361,2022-11-25T00:00:00.000Z,"{'price': 23.86, 'symbol': 'PETR4'}",PUT,2023-07-21T00:00:00.000Z,32.91,7.93,EUROPEAN,170,ITM,-1.0,0.0,0.0,0.0025769014505176,-0.2190365666021645,0.0,100.0,8.609,0.6790000000000003
PETRX482,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,48.77,18.1,EUROPEAN,33,ITM,-1.0,0.0,0.0,0.0038605108364301,-0.0636982434965781,0.0,100.0,18.7824,0.6823999999999977
PETRL254,2022-11-22T00:00:00.000Z,"{'price': 23.33, 'symbol': 'PETR4'}",CALL,2022-12-16T00:00:00.000Z,16.26,6.41,EUROPEAN,18,ITM,1.0,0.0,0.0,-0.0012886339582014,0.0115977752100463,0.0,100.0,7.0932,0.6832000000000003
PETRM223,2022-11-25T00:00:00.000Z,"{'price': 23.86, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,36.51,11.85,EUROPEAN,40,ITM,-1.0,0.0,0.0,0.0028884348519774,-0.0577686392708524,0.0,100.0,12.5343,0.6843000000000004
PETRM287,2022-11-14T00:00:00.000Z,"{'price': 27.7, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,35.52,7.0,EUROPEAN,48,ITM,-1.0,0.0,0.0,0.0028083288304446,-0.06739982453078,0.0,100.0,7.6849,0.6848999999999998
PETRM480,2022-11-21T00:00:00.000Z,"{'price': 26.78, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,34.77,7.2,EUROPEAN,43,ITM,-0.986202,0.0115418831579221,0.0038986791991958,0.0014706023381409,-0.0585214830589639,27.603,98.97,7.8858,0.6857999999999995
PETRX452,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,45.27,14.69,EUROPEAN,33,ITM,-0.96423,0.012169771656951,0.0084997339959931,-0.0041981540751055,-0.0578397188218827,59.818,97.82,15.3767,0.6867000000000001
